Amount_Spent,year
28825661663.704224,2009-01-01
30032221167.561386,2010-01-01
30517168952.02529,2011-01-01
31441716990.700607,2012-01-01
33205261154.46591,2013-01-01
32437129241.672966,2014-01-01
34117004980.34089,2015-01-01
33887354210.065647,2016-01-01
33112971594.780052,2017-01-01
29777309445.000114,2018-01-01
29057693330.35946,2019-01-01
6000674186.165058,2020-01-01
11319536116.640219,2021-01-01
