nights,year
495330742.263628,2009-01-01
507689962.8369801,2010-01-01
505555026.0441024,2011-01-01
498680692.00128,2012-01-01
505927197.1171979,2013-01-01
492072859.14481115,2014-01-01
531005504.4777727,2015-01-01
518443072.5702116,2016-01-01
485675869.55194956,2017-01-01
419953940.0632799,2018-01-01
393341047.43478525,2019-01-01
84484492.05689196,2020-01-01
215163835.40578985,2021-01-01
